id,date,amount,currency,counterparty,description,account
ea668ac7-438b-4f00-8641-22e2d0fba973,2026-01-13,319749.46,RUB,ПАО Гамма,Услуги связи,40702810
beda169b-bbd4-4953-ba22-5b588885e3e9,2026-12-13,368261.96,RUB,ИП Иванов,Заработная плата,40702810
1ff98aee-96af-44f0-9780-7628c3137904,2026-04-22,-14995.63,RUB,ООО Ромашка,Услуги связи,40802810
5c1c5b3f-c89e-4b37-9681-a6a104416942,2026-10-29,-110298.27,RUB,ООО Ромашка,Закупка материалов,40802810
e5d03b59-15fc-4c3d-97cc-877e711da64e,2026-03-21,-170191.23,RUB,ИП Петров,Аренда помещения,40702810
bc904465-cdc8-40d0-8bfd-08f5ee2d2a84,2026-07-03,190025.66,RUB,ООО Дельта,Оплата по договору,40802810
d026856a-b874-4118-a168-68e03fa899d0,2026-07-13,-268160.42,RUB,ООО Дельта,Налоговый платёж,40702810
c9e68d55-7d46-4a61-aa06-9de5df6d67e4,2026-01-24,352315.46,RUB,ООО Дельта,Аренда помещения,40702810
58ee00ec-3422-4963-89d5-401941038d64,2026-07-14,-433255.19,RUB,ИП Петров,Закупка материалов,40702810
10db7ad0-6c25-45ae-9d51-2a3d685df9aa,2026-12-10,-177699.82,RUB,ИП Иванов,Закупка материалов,40702810
e3ba78b5-28d9-42bc-b62d-4ad5b58bf266,2026-07-14,-81784.91,RUB,ПАО Гамма,Налоговый платёж,40702810
bd7e0582-d30c-4830-b54b-a05fced2865a,2026-01-17,114601.13,RUB,ЗАО Сигма,Командировочные расходы,40702810
51efe948-e0dc-49f3-89ae-37b602a69971,2026-10-18,105570.32,RUB,ИП Петров,Услуги связи,40802810
7a815b49-83a3-4110-99cd-86dd128e1a1e,2026-11-26,197876.39,RUB,ООО Дельта,Закупка материалов,40702810
a3de64fd-8b79-44b2-85ea-d7ea2a59641b,2026-10-03,-372519.99,RUB,ЗАО Сигма,Заработная плата,40702810
c3fe8456-9285-4ebe-b9e1-d70f6e7134e7,2026-03-12,109738.45,RUB,ИП Иванов,Оплата по договору,40702810
01f6fb91-b4cb-49dd-9e97-c5bdc1c91fe3,2026-03-23,76505.38,RUB,ЗАО Сигма,Аренда помещения,40802810
358a2ff2-21c7-46f6-b7cf-4469374eed24,2026-08-28,190871.48,RUB,ООО Ромашка,Аренда помещения,40702810
d192bf07-1755-4fe6-b92e-14ba4cbb562e,2026-06-24,-384322.51,RUB,ЗАО Сигма,Закупка материалов,40802810
2a299ba2-c220-4cd1-8ce2-fbe7537bf4b5,2026-05-15,1722.33,RUB,АО Бета,Аренда помещения,40702810
e5ced85b-6631-48e1-a700-d8a502198bf7,2026-09-17,420850.51,RUB,АО Бета,Налоговый платёж,40702810
3919f4ac-375b-4764-aac9-1445f9d7376e,2026-09-29,269735.58,RUB,ИП Петров,Возврат поставщику,40702810
81f89cc8-596b-4a08-aa4f-b007de9f21a6,2026-07-05,56022.68,RUB,ООО Дельта,Услуги связи,40702810
6afd48b5-88ea-4cc3-b659-10b67aadf4ba,2026-10-18,120511.71,RUB,ИП Иванов,Возврат поставщику,40702810
f67b9beb-2d16-48a9-b73d-3c9f9dbd97ae,2026-09-30,488994.45,RUB,АО Бета,Возврат поставщику,40702810
f3c73430-6aab-4aba-b54a-1eed0a8a8aa6,2026-11-07,132601.81,RUB,ПАО Гамма,Услуги связи,40702810
99dbd1de-e261-4827-9057-3c8e7dc2135c,2026-12-10,199556.25,RUB,ООР Омега,Возврат поставщику,40702810
c3c5f7de-37d9-4537-bda0-019279b333b1,2026-02-02,-124028.02,RUB,ПАО Гамма,Услуги связи,40702810
c6ef8a2b-31f0-403d-83ee-0671d8b801d7,2026-11-20,-35589.44,RUB,ИП Иванов,Оплата по договору,40702810
0b7b9bed-fbf5-4dd3-a0f9-36880be148fb,2026-05-02,-35521.59,RUB,ООР Омега,Услуги связи,40702810
